time_step,weekend,rushhour
5220,2023080612,0,1
5221,2023080613,0,1
5222,2023080614,0,1
5223,2023080615,0,1
5224,2023080616,0,1
5225,2023080617,0,1
5226,2023080618,0,1
5227,2023080619,0,1
5228,2023080620,0,1
5229,2023080621,0,0
5230,2023080622,0,0
5231,2023080623,0,0
5232,2023080700,0,0
5233,2023080701,0,0
5234,2023080702,0,0
5235,2023080703,0,0
5236,2023080704,0,0
5237,2023080705,0,0
5238,2023080706,0,1
5239,2023080707,0,1
5240,2023080708,0,1
5241,2023080709,0,1
5242,2023080710,0,1
5243,2023080711,0,1
5244,2023080712,0,1
5245,2023080713,0,1
5246,2023080714,0,1
5247,2023080715,0,1
5248,2023080716,0,1
5249,2023080717,0,1
5250,2023080718,0,1
5251,2023080719,0,1
5252,2023080720,0,1
5253,2023080721,0,0
5254,2023080722,0,0
5255,2023080723,0,0
5256,2023080800,0,0
5257,2023080801,0,0
5258,2023080802,0,0
5259,2023080803,0,0
5260,2023080804,0,0
5261,2023080805,0,0
5262,2023080806,0,1
5263,2023080807,0,1
5264,2023080808,0,1
5265,2023080809,0,1
5266,2023080810,0,1
5267,2023080811,0,1
5268,2023080812,0,1
5269,2023080813,0,1
5270,2023080814,0,1
5271,2023080815,0,1
5272,2023080816,0,1
5273,2023080817,0,1
5274,2023080818,0,1
5275,2023080819,0,1
5276,2023080820,0,1
5277,2023080821,0,0
5278,2023080822,0,0
5279,2023080823,0,0
5280,2023080900,0,0
5281,2023080901,0,0
5282,2023080902,0,0
5283,2023080903,0,0
5284,2023080904,0,0
5285,2023080905,0,0
5286,2023080906,0,1
5287,2023080907,0,1
5288,2023080908,0,1
5289,2023080909,0,1
5290,2023080910,0,1
5291,2023080911,0,1
5292,2023080912,0,1
5293,2023080913,0,1
5294,2023080914,0,1
5295,2023080915,0,1
5296,2023080916,0,1
5297,2023080917,0,1
5298,2023080918,0,1
5299,2023080919,0,1
5300,2023080920,0,1
5301,2023080921,0,0
5302,2023080922,0,0
5303,2023080923,0,0
5304,2023081000,0,0
5305,2023081001,0,0
5306,2023081002,0,0
5307,2023081003,0,0
5308,2023081004,0,0
5309,2023081005,0,0
5310,2023081006,0,1
5311,2023081007,0,1
5312,2023081008,0,1
5313,2023081009,0,1
5314,2023081010,0,1
5315,2023081011,0,1
5316,2023081012,0,1
5317,2023081013,0,1
5318,2023081014,0,1
5319,2023081015,0,1
5320,2023081016,0,1
5321,2023081017,0,1
5322,2023081018,0,1
5323,2023081019,0,1
5324,2023081020,0,1
5325,2023081021,0,0
5326,2023081022,0,0
5327,2023081023,0,0
5328,2023081100,0,0
5329,2023081101,0,0
5330,2023081102,0,0
5331,2023081103,0,0
5332,2023081104,0,0
5333,2023081105,0,0
5334,2023081106,0,1
5335,2023081107,0,1
5336,2023081108,0,1
5337,2023081109,0,1
